"filename", "language", "Python", "Markdown", "TypeScript", "JSON", "MS SQL", "TypeScript JSX", "PostCSS", "JSON with Comments", "Shell Script", "JavaScript", "Properties", "Ignore", "Docker", "XML", "YAML", "HTML", "comment", "blank", "total"
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/i/[code]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/inventory/[location]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 92
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/inventory/analysis/[asin]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 33, 547
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/inventory/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 59
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/inventory/upload/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 47
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 37
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/posts/[slug]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/posts/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/pricing/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/(default)/showcase/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/auth/register/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/auth/signin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 56
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/[locale]/pay-success/[session_id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/asin/[asin]/route.ts", "TypeScript", 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 33, 268
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/compare/route.ts", "TypeScript", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 38, 248
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/dashboard/route.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 93
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/inventory-points/route.ts", "TypeScript", 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 148
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/metrics/route.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 138
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/sync/status/route.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 143
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/sync/trigger/route.ts", "TypeScript", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 20, 152
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ad-data/trends/route.ts", "TypeScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 37, 251
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/add-feedback/route.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/[id]/route.ts", "TypeScript", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 162
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/agents/helios-agent.ts", "TypeScript", 0, 0, 501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 108, 715
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/batch/route.ts", "TypeScript", 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 56, 392
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/docs/brief.md", "Markdown", 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 448
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/engines/rules-engine.ts", "TypeScript", 0, 0, 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 48, 506
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/generate/route.ts", "TypeScript", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 26, 230
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/helios_flowchart_visualization.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1055, 10, 140, 1205
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/helios_output_example.md", "Markdown", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 115
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/langgraph-workflow-summary.md", "Markdown", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 210
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/route.ts", "TypeScript", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 161
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/services/data-aggregation.ts", "TypeScript", 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 48, 428
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/services/data-integration.ts", "TypeScript", 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 42, 307
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/stream/route.ts", "TypeScript", 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 23, 203
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/test-backend.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 528, 0, 0, 0, 0, 0, 0, 50, 102, 680
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/test-frontend.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1096, 5, 170, 1271
"/Users/liuying/Documents/GitHub/amazon_analyst/src/app/api/ai-analysis/test-report.json", "JSON", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146
